"ID","MANAGER.x","MATCHES","WIN","PRESENT","NoMM","NoMY","TW"
"1",1,"Pat Rice",3,100,0,0,0,0
"2",2,"Jim Barron",1,100,0,0,0,0
"3",3,"Eddie Newton",1,100,0,0,0,0
"4",4,"Trevor Brooking",3,67,0,0,0,0
"5",5,"José Mourinho",212,66,0,3,3,3
"6",6,"Alex Ferguson",810,65,0,27,11,13
"7",7,"Guus Hiddink",25,64,1,0,0,0
"8",8,"Manuel Pellegrini",105,63,1,4,0,1
"9",9,"Carlo Ancelotti",76,63,0,4,0,1
"10",10,"Roberto Mancini",133,62,0,2,0,1
"11",11,"Arsène Wenger",743,58,1,15,3,3
"12",12,"Felipe Scolari",25,56,0,0,0,0
"13",13,"Rafael Benitez",255,55,1,6,0,0
"14",14,"Claudio Ranieri",176,53,1,3,0,0
"15",15,"Andre Villas-Boas",81,52,0,2,0,0
"16",16,"Ryan Giggs",4,50,0,0,0,0
"17",17,"Kevin Bond",2,50,0,0,0,0
"18",18,"Louis Van Gaal",67,49,1,0,0,0
"19",19,"Kenny Dalglish",238,48,0,2,0,1
"20",20,"Gianluca Vialli",94,48,0,0,0,0
"21",21,"Gerard Houllier",249,47,0,3,0,0
"22",22,"Roy Evans",184,47,0,2,0,0
"23",23,"Brendan Rodgers",160,47,0,3,0,0
"24",24,"Bruce Rioch	38",45,0,0,0,0,0
"25",25,"Slaven Bilic",29,45,1,0,0,0
"26",26,"Jürgen Klopp",20,45,1,0,0,0
"27",27,"Bobby Robson",188,44,0,6,0,0
"28",28,"Mauricio Pochettino",122,44,1,2,0,0
"29",29,"Ronald Koeman",68,44,1,3,0,0
"30",30,"Kevin Keegan",267,43,0,5,0,0
"31",31,"David O'Leary",260,43,0,3,0,0
"32",32,"Tim Sherwood",45,42,0,0,0,0
"33",33,"David Moyes",461,41,0,10,0,0
"34",34,"John Gregory162",40,0,0,2,0,0
"35",35,"Frank Clark",98,40,0,2,0,0
"36",36,"Roberto Di Matteo",48,40,0,1,0,0
"37",37,"Ruud Gullit",104,39,0,0,0,0
"38",38,"Sven-Göran Eriksson",38,39,0,1,0,0
"39",39,"Mike Walker",98,38,0,1,0,0
"40",40,"Ray Harford",48,38,0,0,0,0
"41",41,"Doug Livermore",42,38,0,0,0,0
"42",42,"David Webb",13,38,0,0,0,0
"43",43,"Paul Sturrock",13,38,0,0,0,0
"44",44,"Harry Redknapp",641,37,0,8,1,0
"45",45,"Alan Pardew",276,37,1,3,1,0
"46",46,"Martin Jol",202,37,0,1,0,0
"47",47,"Brian Little",144,37,0,1,0,0
"48",48,"Mark Hughes",376,36,1,1,0,0
"49",49,"Martin O'Neill",359,36,0,8,0,0
"50",50,"George Graham",288,36,0,1,0,0
"51",51,"Gerry Francis",217,36,0,1,0,0
"52",52,"Avram Grant",94,36,0,1,0,0
"53",53,"Garry Monk",67,36,0,1,0,0
"54",54,"Roy Hodgson",216,35,0,4,0,0
"55",55,"Howard Wilkinson",189,35,0,1,0,0
"56",56,"Trevor Francis",126,35,0,1,0,0
"57",57,"Glenn Roeder",126,35,0,1,0,0
"58",58,"Christian Gross",26,35,0,0,0,0
"59",59,"Sam Allardyce",458,34,1,6,0,0
"60",60,"Graeme Souness",280,34,0,2,0,0
